waveHeight	wavePeriod	value
13	12	0.436376377289897
13.5	12	0.639781413074689
14	12	1.0206700202568
14.5	12	1.5068626323041
15	12	2.11319627233498
15.5	12	2.84015983648205
16	12	3.68419943139266
16.5	12	4.63865470328381
17	12	5.69469133051138
0.5	12.5	0
1	12.5	0
1.5	12.5	0
2	12.5	0
2.5	12.5	0
3	12.5	0
3.5	12.5	0
4	12.5	0
4.5	12.5	0
5	12.5	0
5.5	12.5	0
6	12.5	1.09939242398898E-03
6.5	12.5	1.66010720012813E-03
7	12.5	2.50679907900192E-03
7.5	12.5	3.78532279240754E-03
8	12.5	5.71592225429768E-03
8.5	12.5	8.63117071091198E-03
9	12.5	1.30332612178012E-02
9.5	12.5	1.96805165441447E-02
10	12.5	2.97180210671554E-02
10.5	12.5	4.48748778603905E-02
11	12.5	6.77620713180861E-02
11.5	12.5	0.102322246393685
12	12.5	0.154508885330598
12.5	12.5	0.233311879747561
13	12.5	0.352306167472952
13.5	12.5	0.531990208873093
14	12.5	0.803317138518633
14.5	12.5	1.25776023242868
15	12.5	1.79601653532604
15.5	12.5	2.4514267140216
16	12.5	3.22237627149354
16.5	12.5	4.10382787786617
17	12.5	5.08821378713802
0.5	13	0
1	13	0
1.5	13	0
2	13	0
2.5	13	0
3	13	0
3.5	13	0
4	13	0
4.5	13	0
5	13	0
5.5	13	0
6	13	0
6.5	13	3.01902014563187E-03
7	13	4.33326359148536E-03
7.5	13	6.21962505962761E-03
8	13	8.92715964899049E-03
8.5	13	1.28133414208309E-02
9	13	1.83912604705514E-02
9.5	13	2.63973658850442E-02
10	13	3.78886986449171E-02
10.5	13	0.054382452069533
11	13	7.80562858812204E-02
11.5	13	0.112035841226516
12	13	0.160807417078923
12.5	13	0.230810293424874
13	13	0.331286905284538
13.5	13	0.475503115500041
14	13	0.682499698127365
14.5	13	0.979606279664647
15	13	1.47751710336849
15.5	13	2.0966694285416
16	13	2.79586339065124
16.5	13	3.60512503543452
17	13	4.51836629717175
0.5	13.5	0
1	13.5	0
1.5	13.5	0
2	13.5	0
2.5	13.5	0
3	13.5	0
3.5	13.5	0
4	13.5	0
4.5	13.5	0
5	13.5	0
5.5	13.5	0
6	13.5	0
6.5	13.5	1.68224297462812E-03
7	13.5	2.46408948773146E-03
7.5	13.5	3.60931036427181E-03
8	13.5	5.2867890433773E-03
8.5	13.5	7.74389996101465E-03
9	13.5	1.13429883648042E-02
9.5	13.5	1.66148046451809E-02
10	13.5	2.43367730371723E-02
10.5	13.5	3.56476368221774E-02
11	13.5	5.22153865290561E-02
11.5	13.5	7.64832351714977E-02
12	13.5	0.112029913999458
12.5	13.5	0.164097420860711
13	13.5	0.240364047171075
13.5	13.5	0.352076680239229
14	13.5	0.515709359312176
14.5	13.5	0.755392669294266
15	13.5	1.16595613050773
15.5	13.5	1.70271568106097
16	13.5	2.3739743590579
16.5	13.5	3.14274748738189
17	13.5	3.98497405166867
0.5	14	0
1	14	0
1.5	14	0
2	14	0
2.5	14	0
3	14	0
3.5	14	0
4	14	0
4.5	14	0
5	14	0
5.5	14	0
6	14	0
6.5	14	0
7	14	4.08909699782286E-03
7.5	14	5.73320699169356E-03
8	14	8.03836701039485E-03
8.5	14	1.12703665308824E-02
9	14	1.58018614447657E-02
9.5	14	0.02215534201442
10	14	3.10633770262883E-02
