absoluteWindSpeed_knots	windDirectionDiff	significantWaveHeight_m	relativeWaveDirection	fuelFactorMain
1	40	3.5	0	1.00821428571429
1	40	3.5	10	1.00821428571429
1	40	3.5	20	1.00821428571429
1	40	3.5	30	1.00821428571429
1	40	3.5	40	1.00821428571429
1	40	3.5	50	1.00780357142857
1	40	3.5	60	1.00739285714286
1	40	3.5	70	1.00698214285714
1	40	3.5	80	1.00657142857143
1	40	3.5	90	1.00616071428571
1	40	3.5	100	1.00575
1	40	3.5	110	1.00533928571429
1	40	3.5	120	1.00492857142857
1	40	3.5	130	1.00451785714286
1	40	3.5	140	1.00410714285714
1	40	3.5	150	1.00369642857143
1	40	3.5	160	1.00328571428571
1	40	3.5	170	1.002875
1	50	3.5	0	1.00821428571429
1	50	3.5	10	1.00821428571429
1	50	3.5	20	1.00821428571429
1	50	3.5	30	1.00821428571429
1	50	3.5	40	1.00821428571429
1	50	3.5	50	1.00780357142857
1	50	3.5	60	1.00739285714286
1	50	3.5	70	1.00698214285714
1	50	3.5	80	1.00657142857143
1	50	3.5	90	1.00616071428571
1	50	3.5	100	1.00575
1	50	3.5	110	1.00533928571429
1	50	3.5	120	1.00492857142857
1	50	3.5	130	1.00451785714286
1	50	3.5	140	1.00410714285714
1	50	3.5	150	1.00369642857143
1	50	3.5	160	1.00328571428571
1	50	3.5	170	1.002875
1	60	3.5	0	1.00821428571429
1	60	3.5	10	1.00821428571429
