waveHeight	wavePeriod	value
10	12	0.185162791359544
10.5	12	0.273683964652089
11	12	0.404524645355133
11.5	12	0.597916611255314
12	12	0.8837638895924
12.5	12	1.19176686401093
13	12	1.56178477899139
13.5	12	1.99619379384392
14	12	2.49613263422452
14.5	12	3.06159107775354
15	12	3.69153506499257
15.5	12	4.38405192427993
16	12	5.13650266482829
16.5	12	5.94567173737178
0.5	12.5	0
1	12.5	0
1.5	12.5	0
2	12.5	0
2.5	12.5	0
3	12.5	0
3.5	12.5	0
4	12.5	1.22789449912547E-03
4.5	12.5	1.84126096347875E-03
5	12.5	2.76102054211115E-03
5.5	12.5	4.14022487043712E-03
6	12.5	6.20837900926274E-03
6.5	12.5	9.3096319955647E-03
7	12.5	1.39600446048049E-02
7.5	12.5	2.09334639071649E-02
8	12.5	0.031390294483855
8.5	12.5	4.70705943437236E-02
9	12.5	7.05836274652013E-02
9.5	12.5	0.10584205565296
10	12.5	0.158713020953299
10.5	12.5	0.237994461319949
11	12.5	0.356879122322543
11.5	12.5	0.535149882242377
12	12.5	0.802471701343174
12.5	12.5	1.08928919399322
13	12.5	1.43578082422619
13.5	12.5	1.84455477900105
14	12.5	2.31700717410841
14.5	12.5	2.8533974011118
15	12.5	3.45296314559671
15.5	12.5	4.11405823335757
16	12.5	4.83429977935301
16.5	12.5	5.61071454273873
0.5	13	0
1	13	0
1.5	13	0
2	13	0
2.5	13	0
3	13	0
3.5	13	0
4	13	0
4.5	13	2.88269091281615E-03
5	13	4.15272660105531E-03
5.5	13	5.98230568058557E-03
6	13	8.61794784344139E-03
6.5	13	1.24147826937868E-02
7	13	1.78844003391416E-02
7.5	13	2.57637836585544E-02
8	13	3.71146102646825E-02
8.5	13	5.34663042259285E-02
9	13	7.70221125102253E-02
9.5	13	0.110955973139076
10	13	0.159840175425012
10.5	13	0.230261435748707
11	13	0.33170839966908
11.5	13	0.477850153471216
12	13	0.68837801334022
12.5	13	0.991658757055878
13	13	1.31545290866317
13.5	13	1.69952114532667
14	13	2.14552925123786
14.5	13	2.65401414469333
15	13	3.22448775747833
15.5	13	3.85556716584624
16	13	4.54511684855507
16.5	13	5.29039232016122
0.5	13.5	0
1	13.5	0
1.5	13.5	0
2	13.5	0
2.5	13.5	0
3	13.5	0
3.5	13.5	0
4	13.5	0
4.5	13.5	2.09847883434557E-03
5	13.5	3.06465455878234E-03
5.5	13.5	4.47567419358528E-03
6	13.5	6.53635152115946E-03
6.5	13.5	9.54580010971246E-03
7	13.5	1.39408505554828E-02
7.5	13.5	0.020359457769555
8	13.5	2.97333020693828E-02
8.5	13.5	4.34230254044967E-02
9	13.5	6.34157326649965E-02
9.5	13.5	9.26134259871688E-02
10	13.5	0.135254239171081
10.5	13.5	0.197527615664305
11	13.5	0.288472725063155
11.5	13.5	0.421290526013272
12	13.5	0.615259925421657
12.5	13.5	0.898536170305283
13	13.5	1.20024890722388
13.5	13.5	1.560274979494
14	13.5	1.98056730448847
14.5	13.5	2.46195643819617
15	13.5	3.00424137372436
15.5	13.5	3.60631069644328
16	13.5	4.26627935385804
16.5	13.5	4.98162953593107
0.5	14	0
1	14	0
1.5	14	0
2	14	0
2.5	14	0
3	14	0
3.5	14	0
4	14	0
4.5	14	1.50941123951577E-03
5	14	2.23567119556339E-03
5.5	14	3.3113743715565E-03
